"proyecto" "folioviv" "foliohog" "numren" "conyu" "inglab" "pea" "c_ocupa" "sector_act" "ocup_16omas" "ocup" "trab_formal" "pering" "asis_esc" "años_escolaridad" "preslab" "jub" "factor" "habl_ind" "edo_civ" "pob_ind" "tam_loc" "ic_rezedu" "ic_asalud" "ic_segsoc" "ic_cv" "ic_sbv" "ic_ali" "ictpc" "sexo" "edad" "ictpc2" "mun" "ayuotr" "bengob" "est_calidad_vivienda" "actcom" "tdep" "remesas" "rururb" "bienes" "jsexo" "jedad" "pcpering" "pcocup" "jaesc" "clase_hog" "jnived"
2 159004 0 2 1 0 3 6 5 0 0 4 1 2 8 NA 0 1819 0 2 0 4 0 0 1 0 0 0 1909.9721 0 34 1909.9721 5 0 1 2 1 0.3333333 0 1 6 1 41 50 50 9 2 6
2 159004 0 3 0 0 1 3 1 1 1 NA 0 2 10 0 0 1819 0 6 0 4 0 0 1 0 0 0 1909.9721 1 17 1909.9721 5 0 1 2 1 0.3333333 0 1 6 1 41 50 50 9 2 6
2 159004 0 4 0 NA 4 7 6 0 0 5 0 1 0 NA 0 1819 0 NA 0 4 0 0 1 0 0 0 1909.9721 1 6 1909.9721 5 0 1 2 1 0.3333333 0 1 6 1 41 50 50 9 2 6
2 159005 0 1 0 7709.4491 1 3 3 1 1 1 1 2 9 1 0 1819 0 2 0 4 0 0 0 0 0 0 2009.2215 1 39 2009.2215 5 0 0 2 1 1.5 0 1 7 1 39 20 20 9 2 6
2 159005 0 2 1 NA 3 6 5 0 0 4 0 2 9 NA 0 1819 0 2 0 4 0 0 0 0 0 0 2009.2215 0 40 2009.2215 5 0 0 2 1 1.5 0 1 7 1 39 20 20 9 2 6
2 159005 0 3 0 NA 4 7 6 0 0 5 0 1 1 NA 0 1819 0 NA 0 4 0 0 0 0 0 0 2009.2215 1 7 2009.2215 5 0 0 2 1 1.5 0 1 7 1 39 20 20 9 2 6
2 159005 0 4 0 NA 4 7 6 0 0 5 0 1 0 NA 0 1819 0 NA 0 4 0 0 0 0 0 0 2009.2215 1 4 2009.2215 5 0 0 2 1 1.5 0 1 7 1 39 20 20 9 2 6
2 159006 0 1 0 2598.1972 1 1 1 1 1 NA 1 2 9 0 0 1819 0 2 0 4 0 0 1 0 1 0 852.92366 1 36 852.92366 5 0 0 2 0 2.5 0 1 2 1 36 14.28572 14.28572 9 2 6
2 159006 0 2 1 NA 3 6 5 0 0 4 0 2 8 NA 0 1819 0 2 0 4 0 0 1 0 1 0 852.92366 0 32 852.92366 5 0 0 2 0 2.5 0 1 2 1 36 14.28572 14.28572 9 2 6
2 159006 0 3 0 NA 4 7 6 0 0 5 0 1 1 NA 0 1819 0 NA 0 4 0 0 1 0 1 0 852.92366 0 7 852.92366 5 0 0 2 0 2.5 0 1 2 1 36 14.28572 14.28572 9 2 6
